<s> واجِهَة </s> (ID000047-0000998)	Front	wajِhَh
<s> ضَيّق </s> (ID000047-0001005)	Tight	 dَyq 
<s> مَوز </s> (ID000047-0001020)	Banana	 mَwz 
<s> مُختلفَة </s> (ID000047-0001021)	Different	 mukhtlfَh
<s> صغيرة </s> (ID000047-0001022)	Small	  sghyrh
<s> أَيْنَ </s> (ID000047-0001033)	Where	 aَyْnَ
<s> انْتخابات </s> (ID000047-0001035)	Elections	anْtkhabat
<s> الجُمعة </s> (ID000047-0001042)	Friday	aljum'eh
<s> مُسْتَطِيل </s> (ID000047-0001043)	Oblong	musْtَtِyl
<s> مُنْتَصَف </s> (ID000047-0001047)	Mid	munْtَsَf
<s> غُرْبَة </s> (ID000047-0001049)	Weird	 ghurْbَh
<s> مُشْتَرِك </s> (ID000047-0001050)	Joint	  mushْtَrِk 
<s> جمهور </s> (ID000047-0001059)	Audience	   jmhwr 
<s> ممرضة </s> (ID000047-0001063)	Nurse	    mmrdh 
<s> هذه </s> (ID000047-0001069)	This	 hdh 
<s> مّسْتَعْمَلَة </s> (ID000047-0001070)	Used	  msْtَ'eْmَlَh 
<s> عَجَلَة </s> (ID000047-0001072)	Wheel	    'eَjَlَh 
<s> مُهَنْدس </s> (ID000047-0001073)	Engineer	 muhَnْds 
<s> مُخْتَبَر </s> (ID000047-0001076)	Lab	   mukhْtَbَr 
<s> المغرب </s> (ID000047-0001081)	Morocco	  almghrb
<s> مجهود </s> (ID000047-0001094)	Exertion	 mjhwd 
<s> تَصَحُّر </s> (ID000047-0001095)	Desertification	  tَsَhur 
<s> مَعْجون </s> (ID000047-0001101)	Paste	  mَ'eْjwn 
