nl0001_ams, مرحبا۔ 
nl0002_lms, السلام عليكم۔ 
nl0003_lms, صباح الخير۔ 
nl0004_ams, كيف الصحة؟ 
nl0005_lms, مسا الخير۔ 
nl0006_ams, كيفَك؟ 
nl0007_lms, الحمد الله منيح، كيفَك انتِ؟ 
nl0008_lms, نشكر الله، بخير۔ 
nl0009_lms, شو اسمك؟ 
nl0010_ams, أنا اسمي جان۔ 
nl0011_lms, تشرّفنا۔ 
nl0012_lms, أهلا وسهلا فيك۔ 
nl0013_ams, خاطرك۔ 
nl0014_lms, بشوفك بعدين۔ 
nl0015_lms, بشوفك بُكرا۔ 
nl0016_ams, شكراً۔ 
nl0017_ams, شكراً كتير۔ 
nl0018_lms, عفواً، يا أهلين۔ 
nl0019_lms, تفضّل كول، بالهنا انشالله۔ 
nl0020_ams, اعزرني۔ 
nl0021_ams, أنا آسف۔ 
nl0022_ams, اسمحلي لـ۔۔۔ 
nl0023_lms, هَي الك۔ 
nl0024_lms, رجاءً ابلا، هَي الك۔ 
nl0025_ams, ليش معزّب حالك؟ 
nl0026_ams, لا، شكراً۔ 
nl0027_ams, ممكن ادخل؟ 
nl0028_lms, تفضّل فوت۔ 
nl0029_lms, لأ، ما بتئدر تدخل۔ 
nl0030_lms, استنّى لو سمحت۔ 
nl0031_lms, اي۔ 
nl0032_lms, لأ۔ 
nl0033_lms, طيب۔ 
nl0034_lms, يمكن۔ 
nl0035_lms, مو مشكلة۔ 
nl0036_ams, انتِ جاهز؟ 
nl0037_lms, لحزة لو سمحت۔ 
nl0038_ams, هادا مزبوط؟ 
nl0039_lms, لأ، هادا غلط۔ 
nl0040_ams, مين هالرجّال؟ 
nl0041_ams, مين هالمرة؟ 
nl0042_ams, هاد ابنك؟ /هاي بنتك؟ 
nl0043_ams, انتِ متأكِّد؟ 
nl0044_ams, في عندك۔۔۔؟ 
nl0045_lms, اي، أنا عندي شوَي۔ 
nl0046_lms, سحر حدّاد 
nl0047_lms, فايز عبدالله 
nl0048_ams, الأكل هاد تازة؟ 
nl0049_lms, هالأكل منزوع۔ 
nl0050_ams, هاي لحمة غنم ولاّ لحمة بأر؟ 
nl0051_lms, هاي لحمة غنم۔ 
nl0052_ams, شو نوع هالفاكهة؟ 
nl0053_lms, هادا مشمش۔ 
nl0054_lms, بدّك كمان؟ 
nl0055_ams, لأ، شكراً، شبعت۔ 
nl0056_ams, شكراً، الأكل كان كتير طيب۔ 
nl0057_lms, اشراب شاي۔ 
nl0058_ams, هالمَي صالحة  للشرب؟ 
nl0059_lms, لازم تغلي المَي۔ 
nl0060_ams, بدنا مَي صالحة للشرب۔ 
nl0061_ams, وين بئدر غسّل ايديّي؟ 
nl0062_ams, وين الحمّام؟ 
nl0063_ams, انتِ بتحكي انكليزي؟ 
nl0064_lms, أنا ما بحكي انكليزي۔ 
nl0065_ams, في حدا هون بيحكي انكليزي؟ 
nl0066_ams, أنا ما بحكي سوري۔ 
nl0067_ams, شو بتحكي؟ 
