      male     female
       0.0        0.0 -- ___ لازم داری؟
       0.0        0.0 -- آبو بجوشون.‏
       0.0        0.0 -- آتش بس!‏
       0.0        0.0 -- آتش!‏
       0.0        0.0 -- آثار اثر
       0.0        0.0 -- آخرین
       0.0        0.0 -- آدرس خونت چیه؟
       0.0        0.0 -- آدرسش چیه؟
       0.0        0.0 -- آذری حرف می زنم.‏
       0.0        0.0 -- آر پی جی ات را آماده کن.‏
       0.0        0.0 -- آسیب پذیر
       0.0        0.0 -- آغاز کردن; آغاز شدن; آغاز بکار کردن
       0.0        0.0 -- آماده این؟
       0.0        0.0 -- آماده فرود شو.‏
       0.0        0.0 -- آماده پرواز شو.‏
       0.0        0.0 -- آمادگی; آمادگی داشتن; اعلام آمادگی کردن
       0.0        0.0 -- آموختن آموز; می‌آموزند; آموزگار
       0.0        0.0 -- آموزش; آموزشی; آموزش دادن
       0.0        0.0 -- آهسته برو.‏
       0.0        0.0 -- آهن قراضه
       0.0        0.0 -- آواز
       0.0        0.0 -- آگاه کردن; آگاهی
       0.0        0.0 -- آیا سلاحی بود که آتیش غیر مستقیم اجرا می کنه، مثل خمپاره یا توپ؟
       0.0        0.0 -- آیا سلاحی بود که آتیش مستقیم اجرا می کنه، مثل تفنگ یا بازوکا؟
       0.0        0.0 -- آینده نه چندان دور
       0.0        0.0 -- ابتدا; در ابتدا
       0.0        0.0 -- ابتکار
       0.0        0.0 -- ابراز کردن
       0.0        0.0 -- ابریشم; ابریشمی
       0.0        0.0 -- اتحاد; اتحاد جماهیرشوروی سابق
       0.0        0.0 -- اتحادیه اسلامی‏
       0.0        0.0 -- اتوموبیل شخصی بود.‏
       0.0        0.0 -- اثر ; آثار
       0.0        0.0 -- اجازه اس بیام تو؟
       0.0        0.0 -- اجازه میدی در موقع ضرورت به شما خون بزنیم؟
       0.0        0.0 -- اجازه نمی دیم افراد غیرمجاز حرکت ترافیکو مشاهده کنن.‏
       0.0        0.0 -- اجلاس
       0.0        0.0 -- احترام; مورد احترام
       0.0        0.0 -- احتیاط کن!‏
       0.0        0.0 -- اختصاص یافتن
       0.0        0.0 -- اختلال ات
       0.0        0.0 -- اداره; اداره آگاهی
       0.0        0.0 -- ادبی
       0.0        0.0 -- ارائه دادن کردن
       0.0        0.0 -- ارتفاع این تپه تقریباً ٢٥ متره.‏
       0.0        0.0 -- ارتفاع این تپه چقدره؟
       0.0        0.0 -- ارتفاع تونل چقدره؟
       0.0        0.0 -- ارتفاع تونل ۵ متره.‏
       0.0        0.0 -- اردوگاه دشمن کجاس؟
       0.0        0.0 -- ارز; ارزی
       0.0        0.0 -- ارسال کردن فرستادن
       0.0        0.0 -- ارمغان; به ارمغان آوردن
       0.0        0.0 -- از خمپاره سبک استفاده کنيد که برد کوتاه و خرج انفجاری کوچک دارد.‏
       0.0        0.0 -- از خونت بیا بیرون.‏
       0.0        0.0 -- از ماشین دور شو.‏
       0.0        0.0 -- از ماشین پیاده شو!‏
       0.0        0.0 -- از ملاقات تون خوشوقتم.‏
       0.0        0.0 -- از مواد مخدر استفاده میکنی؟
       0.0        0.0 -- از مگسک هايتان استفاده کنيد.‏
       0.0        0.0 -- از همکاريت ممنونم.‏
       0.0        0.0 -- از پشت بیا.‏
       0.0        0.0 -- از چه راهی میتونم به بیمارستان بروم؟
       0.0        0.0 -- از کدوم مسیر به اینجا اومدی؟
       0.0        0.0 -- از ۱۹۹۷ به این طرف.‏
       0.0        0.0 -- ازتلفون دسی استفاده نکنین.‏
       0.0        0.0 -- ازجاده برین بیرون.‏
       0.0        0.0 -- ازدواج کردی؟
       0.0        0.0 -- اساس
       0.0        0.0 -- استبداد
       0.0        0.0 -- استعمار
       0.0        0.0 -- استعمال
       0.0        0.0 -- استقبال کردن; مورد استقبال قرار گرفتن
       0.0        0.0 -- استناد; با استناد به
       0.0        0.0 -- اسقف
       0.0        0.0 -- اسلامگرا یان
       0.0        0.0 -- اسلحه تو بذار زمین!‏
       0.0        0.0 -- اسلحه تو بیار اینجا.‏
       0.0        0.0 -- اسلحه داری؟
       0.0        0.0 -- اسلحه در غارها ذخیره شدن.‏
       0.0        0.0 -- اسم اون بازار چیه؟
       0.0        0.0 -- اسم این جاده چیه؟
       0.0        0.0 -- اسم این دریاچه چیه؟
       0.0        0.0 -- اسم این ده چیه؟
       0.0        0.0 -- اسم این راه، جاده ی کرجه.‏
       0.0        0.0 -- اسم رئیست چیه؟
       0.0        0.0 -- اسم کاملت چیه؟
       0.0        0.0 -- اسم کوچیکت چیه؟
       0.0        0.0 -- اسم گروهانی که براش کار میکنی چیه؟
       0.0        0.0 -- اسمتو با صدای بلند بگو.‏
       0.0        0.0 -- اسمتون چیه؟
       0.0        0.0 -- اسمم جانه.‏
       0.0        0.0 -- اسناد سند
       0.0        0.0 -- اشاره کردن شدن; با اشاره به; اشاره‌
       0.0        0.0 -- اشتباه; به اشتباه
       0.0        0.0 -- اشتراک
       0.0        0.0 -- اصل ; اصول; اصولگرا
       0.0        0.0 -- اصلاحات
       0.0        0.0 -- اصله
       0.0        0.0 -- اطفال; طفل
       0.0        0.0 -- اعتصاب; اعتصاب غذا
       0.0        0.0 -- اعدام;اعدام کردن
       0.0        0.0 -- اعلام کردن; اعلام شدن; با اعلام اينکه . . .
       0.0        0.0 -- اعمال شاقه
       0.0        0.0 -- اعمال کردن شدن
       0.0        0.0 -- اغلب
       0.0        0.0 -- افراد تیم ما ليستی از وسائل نقلیه و واحد هایی رو که عبور می کنن تهيه می کنن.‏
       0.0        0.0 -- افراد شخصی با اونا بودن؟
       0.0        0.0 -- افسانه
       0.0        0.0 -- افسری یا سرباز؟
       0.0        0.0 -- اقتصاد; اقتصادی
       0.0        0.0 -- اقدام ات
       0.0        0.0 -- السلام علیک
       0.0        0.0 -- الکل می خوری؟
       0.0        0.0 -- الگو
       0.0        0.0 -- امتیازات
       0.0        0.0 -- امر
       0.0        0.0 -- امروز
       0.0        0.0 -- امشب.‏
       0.0        0.0 -- امضاء کن.‏
       0.0        0.0 -- امنیت; امنيتی; ایمنی
       0.0        0.0 -- اموالم در کجاس؟
       0.0        0.0 -- انبار اسلحه در کجاس؟
       0.0        0.0 -- انباشتن
       0.0        0.0 -- انتخابات
       0.0        0.0 -- انتصاب
       0.0        0.0 -- انتقال; انتقال دادن; انتقال يافتن
       0.0        0.0 -- اندازه; به اندازه کافی
       0.0        0.0 -- انگلیسی حرف میزنی؟
       0.0        0.0 -- اهل کجایی؟
       0.0        0.0 -- اهمیت
       0.0        0.0 -- او فرمانده ما هس.‏
       0.0        0.0 -- او چی پوشیده بود؟
       0.0        0.0 -- اوقاتوقت; گاهی اوقات
       0.0        0.0 -- اولین
       0.0        0.0 -- اون آشپزخانه ام هس.‏
       0.0        0.0 -- اون راه آسفالته نيس.‏
       0.0        0.0 -- اون شاهراهه.‏
       0.0        0.0 -- اون مسئوله.‏
       0.0        0.0 -- اون چه اتاقیه؟
       0.0        0.0 -- اون چه ساختمونیه؟
       0.0        0.0 -- اون چپیه اس.‏
       0.0        0.0 -- اون کلانتریه.‏
       0.0        0.0 -- اون یه عمامه اس.‏
       0.0        0.0 -- اون یونیفورم ارتشیه.‏
