      male     female
       3.0        5.0 --         ءاسف، ءنا مشغولة. 
       3.0        5.0 --         ءاسيا ءكْبرْ قارة في العالمْ. 
       0.0        4.0 --         ءايْ، ءنا ءسْتاذْ. 
       3.0        3.0 --         ءبوك قال ليْكْ شنو؟ 
       0.0        4.0 --         ءبوكْ منو؟ 
       3.0        6.0 --         ءبوى ءمامْ الجّامعْ. 
       3.0        7.0 --         ءبوى حذّرني من التدخين. 
       3.0        7.0 --         ءبوى مسافر، طوّل ما جا. 
       3.0        5.0 --         ءبوي بنى عمارة. 
       3.0        6.0 --         ءبوي شغّال عقاراتْ. 
       0.0        4.0 --         ءبويْ ساكنْ معايْ. 
       3.0        7.0 --         ءبويْ شغّالْ دكْتوْر. 
       0.0        4.0 --         ءبويْ مدرّسْ. 
       3.0        7.0 --         ءبى  ينقّصْ السعر. 
       3.0        6.0 --         ءتخلصت من مشاكلي المالية. 
       3.0        4.0 --         ءتذكرتو مشْية وجيّة. 
       3.0        4.0 --         ءتّكي علي الْكرْسي. 
       3.0        5.0 --         ءتْءكدْت في رحْلة الْليلة؟ 
       3.0        5.0 --         ءتْحمّل الصّعوباتْ. 
       3.0        5.0 --         ءتْذكّرْت حاجة مهمّة. 
       3.0        7.0 --         ءتْمنّى ليْك اقامة طيْبة. 
       0.0        4.0 --         ءثاثْ البيْت جميلْ. 
       3.0        6.0 --         ءجازة الصيْف طويلة. 
       3.0        6.0 --         ءجازتي ابتداءً من بكرة! 
       3.0        7.0 --         ءجّر ليه بيت في بحرى. 
       0.0        4.0 --         ءجّرت عربيّة. 
       3.0        5.0 --         ءجّرْت شقة مفرّوشة. 
       3.0        4.0 --         ءحب ءشْربْ اللّبنْ. 
       3.0        6.0 --         ءحب الشيّة في الفطورْ. 
       1.0        4.0 --         ءحب ملاحْ البامْبيْ. 
       3.0        5.0 --         ءحساسي ءنّك زعلان. 
       3.0        4.0 --         ءحسب القروش دي. 
       3.0        4.0 --         ءحسب لي القروش دي. 
       0.0        4.0 --         ءحفظ العنوان دا. 
       3.0        5.0 --         ءحياناً بمْشى لندن. 
       3.0        7.0 --         ءحْبطوا خطّةْ الْعصابهْ. 
       3.0        5.0 --         ءحْتفظْ بالرّوشتهْ دي. 
       0.0        4.0 --         ءحْسن ترْتاحْ. 
       3.0        5.0 --         ءحْسنْ ءسافرْ بكْرة. 
       3.0        5.0 --         ءحْسنْ الءكلْ الخفيفْ. 
       3.0        3.0 --         ءحْمدْ رايدْ في الجيْش. 
       3.0        7.0 --         ءحْمدْ طبيبْ في السّلاحْ الطبّي. 
       3.0        2.0 --         ءحْمدْ لوا في الجيْش. 
       3.0        7.0 --         ءختّه وين الصندوق دا؟ 
       3.0        5.0 --         ءخدت دروس تقوية. 
       3.0        6.0 --         ءخدته غفْوة. 
       3.0        5.0 --         ءخدتّ ليْ جرعهْ دوا. 
       3.0        6.0 --         ءخدْ بنجْ قبْل الْعمليّة. 
       3.0        7.0 --         ءخدْ ليْه مضادْ حيويْ. 
       3.0        6.0 --         ءخدْت تقْديرْ جيّد جداً. 
       3.0        3.0 --         ءخدْتي الْحقْنة؟ 
       3.0        6.0 --         ءخدْنا نص يومْ راحةْ. 
       3.0        2.0 --         ءخوي عنده عربية. 
       3.0        7.0 --         ءخويْ سافرْ قبْل ءرْبعين يوْم. 
       3.0        5.0 --         ءخويْ ضابطْ. 
       1.0        4.0 --         ءخويْ معلّمْ. 
       3.0        2.0 --         ءخويْ مهنْدسْ. 
       3.0        5.0 --         ءخوْي قرّبْ يجي. 
       3.0        5.0 --         ءخيراً وصلْ الْعريسْ. 
       3.0        6.0 --         ءخْباركْ شنو يا ءخي؟ 
       3.0        5.0 --         ءخْتار ليك رقم سرّي. 
       3.0        2.0 --         ءخْتي ءسْتاذةْ. 
       3.0        6.0 --         ءخْلوا المنْطقة فوْرا. 
       3.0        7.0 --         ءدارة الشّركة اتْغيرت. 
       3.0        5.0 --         ءداني حقْنهْ ومسكّنات. 
       3.0        5.0 --         ءدخل الحمّام الجوّاني. 
       3.0        3.0 --         ءدخل جوّة البيت. 
       1.0        4.0 --         ءدعي ليْ يا شيخْ. 
       3.0        3.0 --         ءدفع رسوم المطار.! 
       1.0        4.0 --         ءديني ملعقة سكر! 
       3.0        5.0 --         ءدّاني حبوبْ مسكّنهْ. 
       3.0        5.0 --         ءدّاني حقْنهْ في يدّي. 
       1.0        4.0 --         ءدّوني الفيزا. 
       3.0        7.0 --         ءدّوْه ءبْرة مضادْ حيويْ. 
       3.0        6.0 --         ءدّوْه حقْنة مهدّءة. 
       3.0        5.0 --         ءدّيكْ شاشْ للجّرحْ؟ 
       3.0        5.0 --         ءدّيني  ورقة لو سمحت. 
       3.0        7.0 --         ءدّيني ءرْقامْ تليفونات الءساتْذة. 
       0.0        4.0 --         ءدّيني القلم دا. 
       3.0        5.0 --         ءدّيني جدادْ بالفرنْ. 
       3.0        5.0 --         ءدّيني دسْتة بيْض. 
       3.0        6.0 --         ءدّيني سنْدوتْش طعمية. 
       3.0        3.0 --         ءدّيني شايْ لوْ سمحْت! 
       3.0        5.0 --         ءدّيني شويّة تفاصيل. 
       3.0        5.0 --         ءدّيني شويّة شطّة. 
       3.0        3.0 --         ءدّيني شويّة فوْل. 
       3.0        5.0 --         ءدّيني شويّةْ تفاصيلْ. 
       3.0        3.0 --         ءدّيني فولْ بالجبْنة. 
       3.0        5.0 --         ءدّيني قايْمة الماكولات. 
       3.0        3.0 --         ءدّيني قلمْ، لوْ سمحْت! 
       1.0        4.0 --         ءدّيني كبّاية شاي! 
       1.0        4.0 --         ءدّيني كمّونية. 
       3.0        3.0 --         ءدّيني كوز موية! 
       3.0        5.0 --         ءدّيني كيلو طماطمْ. 
       1.0        4.0 --         ءدّيني موية بارْدة. 
       0.0        4.0 --         ءدّيه الدّايْرو. 
       3.0        7.0 --         ءدّيه زى ما عايز. 
       1.0        4.0 --         ءذا جيت بمشي معاك. 
       3.0        5.0 --         ءربط حزام الءمان! 
       3.0        5.0 --         ءرجوك رجا خاص! 
       1.0        4.0 --         ءرحْ نتْفسّحْ. 
       3.0        6.0 --         ءرْبطْ الحزامْ يا زول! 
       3.0        5.0 --         ءرْجعْ مباشرةً منْ هنا. 
       3.0        6.0 --         ءرْسمْ ليْ ءشكالْ هندسيّهْ! 
       3.0        5.0 --         ءزيّك ، عامْلة شنو؟ 
       3.0        5.0 --         ءزيّكْ يا ءخي؟ 
       1.0        4.0 --         ءساعْدكْ بشنو ؟ 
       3.0        5.0 --         ءستلمْ من ءمو مليون جنيه. 
       0.0        4.0 --         ءسكْتي ساكتْ! 
       1.0        4.0 --         ءسّع تلقاه نايم. 
       0.0        4.0 --         ءسْءل الراجل دا. 
       3.0        3.0 --         ءسْتخْدم الرقم دا. 
       3.0        5.0 --         ءسْتراليا دوْلة وقارة. 
       3.0        7.0 --         ءسْعارْ الخضار غالية. 
       3.0        3.0 --         ءسْعفوه بسرْعة. 
       0.0        4.0 --         ءسْمرْ جميل. 
       3.0        5.0 --         ءسْمعي يا مدام ليلى. 
       3.0        5.0 --         ءسْنانه بتوجْعه. 
       3.0        3.0 --         ءشارة الْمرورْ حمْرا. 
       1.0        4.0 --         ءشوفكْ بعْديْن. 
       3.0        6.0 --         ءشوفكْ بكْرة ءنْ شاء الله. 
       1.0        4.0 --         ءشوفْكم متْين؟ 
       3.0        4.0 --         ءشْربْ سوايلْ كتيْرْ. 
       3.0        7.0 --         ءصرّ على موْقفه. 
       3.0        7.0 --         ءصيْبْ ءصابة بسيطة. 
       3.0        7.0 --         ءضْغطي مكان الْوجعْ. 
       0.0        4.0 --         ءطلع برّة. 
       3.0        5.0 --         ءطمّنك ءنّي كْويْسة. 
       3.0        5.0 --         ءطْفي نور الْعربيّة. 
       1.0        4.0 --         ءطْلعْ الدورْ التاني. 
       3.0        6.0 --         ءظْبط الزّمن كويّسْ. 
       3.0        7.0 --         ءعرّفكْ على صديقي علي. 
       3.0        5.0 --         ءعزفْ لينا الرّبابه! 
       3.0        3.0 --         ءعلنوا حالة الطّواري. 
       3.0        7.0 --         ءعمْل زى ما ءتفقْنا. 
       3.0        5.0 --         ءعْملْ بالنّصيحة دي. 
       3.0        5.0 --         ءعْملْ حسابك! المطرة. 
       3.0        3.0 --         ءعْملْ مكمّداتْ بارْدة. 
       3.0        6.0 --         ءغرف الفول بالكمشة! 
       3.0        5.0 --         ءفْتح بلاغْ وينْ؟ 
       1.0        4.0 --         ءفْرشْ الْبساطْ! 
       0.0        4.0 --         ءقابلكم ويْن؟ 
       3.0        7.0 --         ءقامتي صالحة لغاية . 
       3.0        5.0 --         ءقعدوا جنب بعض. 
       3.0        5.0 --         ءقيف في ءشارةْ المرور. 
       3.0        6.0 --         ءقيف في نقطة التّفتيش. 
       3.0        2.0 --         ءقيفْ في الْءسْتبْ. 
