      male     female
       4.0        6.0 --         ، سستا کھانا 
      10.0       10.0 --         آ ئینی ادارے 
       8.0       11.0 --         آئی یو سی این 
       3.0        5.0 --         آئین 
      11.0       10.0 --         آب پاشی 
       4.0        5.0 --         آبادی 
      21.0       18.0 --         آبادی کی منصوبہ بندی 
      19.0       18.0 --         آبدوز کشتی 
       4.0        5.0 --         آبلے 
      11.0       10.0 --         آبپاشی 
      12.0       17.0 --         آبپاشی کا نظام 
       3.0        3.0 --         آبی 
      13.0       16.0 --         آبی حیوانات 
      18.0       18.0 --         آبی زرائع 
      24.0       22.0 --         آج 
       4.0        6.0 --         آج رات 
       4.0        6.0 --         آج کل 
       3.0        5.0 --         آجر 
      15.0       17.0 --         آخری قیمت 
      17.0       17.0 --         آداب 
       3.0        3.0 --         آدھا 
      25.0       20.0 --         آرام سے۔ 
      15.0       17.0 --         آرام و آسائش 
      12.0       14.0 --         آزادانہ 
      12.0       14.0 --         آسٹریلیا 
       5.0        8.0 --         آغاز 
       5.0        8.0 --         آفات 
       3.0        3.0 --         آلات 
      12.0       17.0 --         آلو گوشت 
      12.0       11.0 --         آلودہ پانی 
       3.0        3.0 --         آلہ 
      12.0       11.0 --         آماجگاہ 
       6.0        6.0 --         آمد 
       4.0        5.0 --         آمدنی 
      12.0       14.0 --         آمدورفت 
       2.0        3.0 --         آمر 
       4.0        5.0 --         آنتیں 
       3.0        3.0 --         آنسو 
       3.0        3.0 --         آنکھ 
       8.0       10.0 --         آنے والا کل 
      16.0       18.0 --         آواز 
       8.0        9.0 --         آٹھ 
      12.0       11.0 --         آٹھ سو 
      12.0       14.0 --         آٹھواں 
      22.0       21.0 --         آپ اعلانات کہاں مشتہر کرتے ھیں؟ 
      22.0       16.0 --         آپ انتظار کریں جب تک میں فوج کے تفتیش کار کو بلاتا ھوں۔ 
      22.0       20.0 --         آپ اپنی گاڑی کے کاغذات دیکھاہیں۔ 
      22.0       21.0 --         آپ اپنے ساتھ بہت سا کھانا اور پانی لاہیں۔ 
      22.0       20.0 --         آپ اپنے ساتھ کتنی رقم لے جا رھے ھیں؟ 
      21.0       22.0 --         آپ بجلی کہاں سے حاصل کرتے ھیں؟ 
      25.0       20.0 --         آپ بری طرح جھلس گئے ہیں۔ 
      25.0       20.0 --         آپ زخمی ھوگئے ہیں۔ 
      21.0       19.0 --         آپ سے جلد ملاقات ھوگی 
      18.0       17.0 --         آپ سے مل کر خوشی ھوئی 
      21.0       19.0 --         آپ فوج میں کتنی دیر سے ہیں؟ 
      21.0       20.0 --         آپ قیدی ھیں 
      25.0       20.0 --         آپ مہھجے کیا دے رہے ھیں؟ 
      22.0       20.0 --         آپ نے قانون توڑا ھے اس لیے آپ کو گرفتار کرنا پڑا ھے۔ 
      21.0       20.0 --         آپ نے مزاحمت کاروں کو کہاں دیکھا؟ 
      24.0       20.0 --         آپ نے پہلی دفعہ مسلح لوگوں کو کہاں دیکھا؟ 
      22.0       20.0 --         آپ نے کتنی گاڑیاں دیکھں؟ 
      22.0       20.0 --         آپ نے کرفیو توڑا ھے۔ 
      22.0       20.0 --         آپ نے کیا دیکھا؟ 
      21.0       20.0 --         آپ نے گولا بارود کہاں دیکھا؟ 
      24.0       20.0 --         آپ نے گولابارود کب دیکھا؟ 
      21.0       19.0 --         آپ نے یہ بارود کہاں سے لیا؟ 
      24.0       20.0 --         آپ نے یہ دن کے کس وقت دیکھا؟ 
      18.0       17.0 --         آپ کا بہت شکریہ 
      18.0       17.0 --         آپ کا شکریہ کھانا بہت مزہ دار تھا 
      43.0       39.0 --         آپ کا عہدہ کیا ھے؟ 
      22.0       20.0 --         آپ کا نام کیا ھے؟ 
      25.0       20.0 --         آپ کا وزن کیا ھے؟ 
      21.0       20.0 --         آپ کا پورا نام کیا ھے؟ 
      22.0       20.0 --         آپ کا پورا نام کیا ہے؟ 
      21.0       19.0 --         آپ کا چیف کون ہے؟ 
      21.0       20.0 --         آپ کا کیا مذہب ہے؟ 
      18.0       17.0 --         آپ کا کیا نام ھے؟ 
      25.0       20.0 --         آپ کتنی انگلیاں دیکھ رھے ھیں؟ 
      22.0       20.0 --         آپ کس ملک سے ھیں؟ 
      22.0       16.0 --         آپ کس کے ساتھ ملنا چاھتے ھیں؟ 
      24.0       19.0 --         آپ کو اجازت ھے۔ 
      21.0       19.0 --         آپ کو اپنا ٹرک واپس مل جائے گا اگر آپ بتائیں کہ آپ اسے کس کے پاس لے جا رھے تھے؟ 
      22.0       20.0 --         آپ کو اڈے میں جا کر مترجم سے بات کرنی چاھے۔ 
      22.0       21.0 --         آپ کو مقامی اہلکاروں کو تفتیش کرنے کی اجازت دینی چاھے۔ 
      25.0       20.0 --         آپ کو کون سی دواوں سے الرجی ھے؟ 
      18.0       17.0 --         آپ کوایسا نہیں کرناچاہیے 
      25.0       20.0 --         آپ کون سی دوائیاں لے رہے ھیں؟ 
      18.0       18.0 --         آپ کون سی زبان بولتے ہیں؟ 
      20.0       19.0 --         آپ کون ہیں؟ 
      21.0       20.0 --         آپ کہاں جا رھے ھیں؟ 
